code,title
SM56,- - - - - Anal abscess disorder (TM2)
SM5Y,- - - - - Other specified anorectal disorders (TM2)
SM5Z,"- - - - - Anorectal disorders (TM2), unspecified"
SM70,- - - - Flank pain disorder (TM2)
SM71,- - - - Anorexia disorder (TM2)
SM72,- - - - Bowel inflammation disorder (TM2)
SM73,- - - - Infantile tenesmus disorder (TM2)
SM74,- - - - Hiccough disorder (TM2)
SM75,- - - - Dynamic intestinal obstruction disorder (TM2)
SM76,- - - - Severe vomiting and diarrhoea disorder (TM2)
SM7Y,- - - - Other specified gastro-intestinal disorders (TM2)
SM7Z,"- - - - Gastro-intestinal disorders (TM2), unspecified"
SM80,- - - - - Renal abscess disorder (TM2)
SM81,- - - - - Retention of urine disorder (TM2)
SM82,- - - - - Insufficiency of the urinary bladder disorder (TM2)
SM83,- - - - - Renal colic disorder (TM2)
SM84,- - - - - Nephritis disorder (TM2)
SM85,- - - - - Cystitis disorder (TM2)
SM86,- - - - - Wound of the urinary bladder disorder (TM2)
SM87,- - - - - Dysuria disorder (TM2)
SM88,- - - - - Dribbling of urine disorder (TM2)
SM89,- - - - - Thick urine disorder (TM2)
SM8A,- - - - - Haematuria disorder (TM2)
SM8B,- - - - - Urinary incontinence disorder (TM2)
SM8C,- - - - - Urinary stone disorder (TM2)
SM8D,- - - - - Polyuria disorder (TM2)
SM8E,- - - - - Oliguria disorder (TM2)
SM8Y,- - - - - Other specified urinary system disorders (TM2)
SM8Z,"- - - - - Urinary system disorders (TM2), unspecified"
SM90,- - - - - Amenorrhoea disorder (TM2)
SM91,- - - - - Endocervicitis disorder (TM2)
SM92,- - - - - Bartholin's cyst disorder (TM2)
SM93,- - - - - Leucorrhoea disorder (TM2)
SM94,- - - - - Female infertility disorder (TM2)
SM95,- - - - - Vaginitis disorder (TM2)
SM96,- - - - - Dysmenorrhoea disorder (TM2)
SM97,- - - - - Hypomenorrhoea disorder (TM2)
SM98,- - - - - Dysfunctional uterine bleeding disorder (TM2)
SM99,- - - - - Uterine polyps disorder (TM2)
SM9A,- - - - - Uterine prolapse disorder (TM2)
SM9B,- - - - - Vaginismus disorder (TM2)
SM9C,- - - - - Metritis disorder (TM2)
SM9Y,- - - - - Other specified female Reproductive System disorders (TM2)
SM9Z,"- - - - - Female Reproductive System disorders (TM2), unspecified"
SN00,- - - - - Balanitis disorder (TM2)
SN01,- - - - - Hydrocele disorder (TM2)
SN02,- - - - - Erectile dysfunction disorder (TM2)
SN03,- - - - - Oligospermia disorder (TM2)
SN04,- - - - - Mustard- size boils on penis disorder (TM2)
SN05,- - - - - Orchitis disorder (TM2)
SN06,- - - - - Penile growth disorder (TM2)
SN07,- - - - - Priapism disorder (TM2)
SN08,- - - - - Prostatic enlargement disorder (TM2)
SN09,- - - - - Spermatorrhoea disorder (TM2)
SN0A,- - - - - Phimosis disorder (TM2)
SN0Y,- - - - - Other specified male Reproductive System disorders (TM2)
SN0Z,"- - - - - Male Reproductive System disorders (TM2), unspecified"
SN10,- - - - - Decreased breastmilk disorder (TM2)
SN11,- - - - - Vitiated breast milk disorder (TM2)
SN12,- - - - - Recurrent pregnancy loss disorder (TM2)
SN1Y,- - - - - Other specified pregnancy and childbirth related disorders (TM2)
SN1Z,"- - - - - Pregnancy and childbirth related disorders (TM2), unspecified"
SN30,- - - - Gonorrhoea disorder (TM2)
SN31,- - - - Syphillis disorder (TM2)
SN3Y,- - - - Other specified urinary and reproductive system disorders (TM2)
SN3Z,"- - - - Urinary and reproductive system disorders (TM2), unspecified"
SN40,- - - - - Dermatitis disorder (TM2)
SN41,- - - - - Discoloration of body disorder (TM2)
SN42,- - - - - Dryness of skin disorder (TM2)
SN43,- - - - - Eczema disorder (TM2)
SN44,- - - - - Foul body smelling disorder (TM2)
SN45,- - - - - Excess of sweat disorder (TM2)
SN46,- - - - - Scabies disorder (TM2)
SN47,- - - - - Dracunculosis disorder (TM2)
SN48,- - - - - Intertrigo disorder (TM2)
SN49,- - - - - Integumentary disorder (TM2)
SN4A,- - - - - Psoriasis disorder (TM2)
SN4B,- - - - - Ichthyosis disorder (TM2)
SN4C,- - - - - Scaling of scalp and forehead skin disorder (TM2)
SN4D,- - - - - Vitiligo disorder (TM2)
SN4E,- - - - - Lentigo disorder (TM2)
SN4F,- - - - - Birth mark - blackish red disorder (TM2)
SN4G,- - - - - Melasma disorder (TM2)
SN4H,- - - - - Mole disorder (TM2)
SN4J,- - - - - Black red skin lesion disorder (TM2)
SN4K,- - - - - Urticaria disorder (TM2)
SN4L,- - - - - Wheal disorder (TM2)
SN4M,- - - - - Boil disorder (TM2)
SN4N,- - - - - Prickly heat disorder (TM2)
SN4P,- - - - - Pemphigus vulgaris disorder (TM2)
SN4Q,- - - - - Scar marks disorder (TM2)
SN4R,- - - - - Roughness of skin disorder (TM2)
SN4S,- - - - - Verruca disorder (TM2)
SN4T,- - - - - Herpes disorder (TM2)
SN4U,- - - - - Ring worm infection disorder (TM2)
