Foundation URI,Linearization URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5
http://id.who.int/icd/entity/734445064,http://id.who.int/icd/release/11/mms/734445064,SK66,,- - - - - Conjunctivitis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1383132796,http://id.who.int/icd/release/11/mms/1383132796,SK67,,- - - - - Corneal disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/638425903,http://id.who.int/icd/release/11/mms/638425903,SK68,,- - - - - Tear sac swelling disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1666834280,http://id.who.int/icd/release/11/mms/1666834280,SK69,,- - - - - Eyelid cyst disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/2093954772,http://id.who.int/icd/release/11/mms/2093954772,SK6A,,- - - - - Dry eye disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/845612393,http://id.who.int/icd/release/11/mms/845612393,SK6B,,- - - - - Ectropion disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/492583157,http://id.who.int/icd/release/11/mms/492583157,SK6C,,- - - - - Pterygium disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1712732076,http://id.who.int/icd/release/11/mms/1712732076,SK6D,,- - - - - Lacrimation disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1143150083,http://id.who.int/icd/release/11/mms/1143150083,SK6E,,- - - - - Trichiasis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/735227050,http://id.who.int/icd/release/11/mms/735227050,SK6F,,- - - - - Eyelid tumour disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1362647259,http://id.who.int/icd/release/11/mms/1362647259,SK6G,,- - - - - Hard swelling of eyelid disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/198059528,http://id.who.int/icd/release/11/mms/198059528,SK6H,,- - - - - Eyelid wart disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1846905779,http://id.who.int/icd/release/11/mms/1846905779,SK6J,,- - - - - Excessive blinking disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1270078591,http://id.who.int/icd/release/11/mms/1270078591,SK6K,,- - - - - Eyelid haematoma disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/529558368,http://id.who.int/icd/release/11/mms/529558368,SK6L,,- - - - - Ptosis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/822848978,http://id.who.int/icd/release/11/mms/822848978,SK6M,,- - - - - Sticky eyelids disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1273059747,http://id.who.int/icd/release/11/mms/1273059747,SK6N,,- - - - - Chalazion disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/978189214,http://id.who.int/icd/release/11/mms/978189214,SK6P,,- - - - - Stye disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1993682290,http://id.who.int/icd/release/11/mms/1993682290,SK6Q,,- - - - - Ptilosis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
